order,sectionTitle,lessonTitle,slug,sectionIcon,filePath,description
01A,Mindset,Javascript Is Hard,mindset/javascript-is-hard,brain,/lessons/mindset/javascript-is-hard,Understanding why JavaScript is challenging and how this workshop provides the foundation to confidently start building real projects.
01B,Mindset,Don't Get Discouraged,mindset/dont-get-discouraged,brain,/lessons/mindset/dont-get-discouraged,Understanding that making mistakes is normal and part of the learning process in programming.
02A,Tools,Basic Tools,tools/basic-tools,tools,/lessons/tools/basic-tools,Basic tools you need to download to follow along with JavaScript development.
02B,Tools,Live Server Extension,tools/live-server-extension,tools,/lessons/tools/live-server-extension,Installing and using the Live Server extension for faster web development.
02C,Tools,Prettier Setup,tools/prettier-setup,tools,/lessons/tools/prettier-setup,Setting up Prettier for automatic code formatting and understanding its benefits.
03A,Running JavaScript,What Is JavaScript?,running-javascript/what-is-javascript,file-code,/lessons/running-javascript/what-is-javascript,Understanding what JavaScript is and why it's essential for modern development.
03B,Running JavaScript,Your First JavaScript App,running-javascript/your-first-javascript-app,file-code,/lessons/running-javascript/your-first-javascript-app,Setting up your development environment and writing your very first JavaScript program.
03C,Running JavaScript,Loading JavaScript in the Browser,running-javascript/loading-javascript-in-browser,file-code,/lessons/running-javascript/loading-javascript-in-browser,Understanding the different ways to load JavaScript and how they affect page performance.
04A,Variable Basics,Primitive Types and Operations,variable-basics/primitive-types-and-operations,cube,/lessons/variable-basics/primitive-types-and-operations,"Learn about JavaScript's fundamental primitive data types (number, string, boolean) and the basic operations you can perform with them."
04B,Variable Basics,Creating Your First Variable,variable-basics/creating-your-first-variable,cube,/lessons/variable-basics/creating-your-first-variable,Learn how to create variables in JavaScript using the let keyword and understand how variables store values in memory.
04C,Variable Basics,Constants with Const,variable-basics/constants-with-const,cube,/lessons/variable-basics/constants-with-const,Learn how to create constants using the const keyword and understand when to use const instead of let for unchanging values.
04D,Variable Basics,Null vs Undefined,variable-basics/null-vs-undefined,cube,/lessons/variable-basics/null-vs-undefined,"Learn about JavaScript's special values null and undefined, understand their differences, and know when to use each one."
05A,Functions,Introduction to Functions,functions/introduction-to-functions,cogs,/lessons/functions/introduction-to-functions,Learn how to create and use functions in JavaScript to organize your code and avoid repetition.
05B,Functions,Passing Functions as Arguments,functions/passing-functions-as-arguments,cogs,/lessons/functions/passing-functions-as-arguments,"Learn how to pass functions to other functions as arguments, including callbacks and anonymous functions."
05C,Functions,Arrow Functions,functions/arrow-functions,cogs,/lessons/functions/arrow-functions,Learn the alternate arrow function syntax - a shorter way to write functions in JavaScript with some unique features.
06A,Scope,Understanding Scope,scope/understanding-scope,eye,/lessons/scope/understanding-scope,"Learn how JavaScript organizes variables and functions into different scopes, and how inner scopes can access outer scopes but not vice versa."
06B,Scope,Hoisting,scope/hoisting,eye,/lessons/scope/hoisting,Learn how JavaScript moves function declarations to the top of their scope.
06C,Scope,Closures,scope/closures,eye,/lessons/scope/closures,"Learn how inner functions can access variables from outer scopes, even after the outer function has finished executing."
07A,Advanced Variables,Creating Variables with var,advanced-variables/creating-variables-with-var,layer-group,/lessons/advanced-variables/creating-variables-with-var,Learn about the var keyword and why you should avoid it in favor of let and const.
07B,Advanced Variables,Type Coercion,advanced-variables/type-coercion,layer-group,/lessons/advanced-variables/type-coercion,Learn how JavaScript automatically converts between types and how to prevent unexpected behavior with proper equality operators.
07C,Advanced Variables,NaN (Not a Number),advanced-variables/nan-not-a-number,layer-group,/lessons/advanced-variables/nan-not-a-number,Learn about NaN (Not a Number) and how to properly check for it in JavaScript.
07D,Advanced Variables,Equality Type Comparisons,advanced-variables/equality-type-comparisons,layer-group,/lessons/advanced-variables/equality-type-comparisons,Learn how JavaScript handles equality comparisons and the importance of using strict equality.
07E,Advanced Variables,Arrays,advanced-variables/arrays,layer-group,/lessons/advanced-variables/arrays,Learn how to create and work with arrays to store multiple values in a single variable.
07F,Advanced Variables,Objects,advanced-variables/objects,layer-group,/lessons/advanced-variables/objects,Learn how to create and work with objects to organize related data and functions together.
07G,Advanced Variables,Reference vs Value,advanced-variables/reference-vs-value,layer-group,/lessons/advanced-variables/reference-vs-value,Learn the crucial difference between how JavaScript handles primitive values versus object references.
07H,Advanced Variables,String Template Literals,advanced-variables/string-template-literals,layer-group,/lessons/advanced-variables/string-template-literals,Learn how to use template literals (backticks) to create dynamic strings with embedded variables and expressions.
07I,Advanced Variables,This Keyword,advanced-variables/this-keyword,layer-group,/lessons/advanced-variables/this-keyword,"Learn how the this and new keywords work in JavaScript, including their uses in classes, objects, and different contexts."
08A,Control Flow,If Statements,control-flow/if-statements,route,/lessons/control-flow/if-statements,"Learn how to conditionally execute code using if, else if, and else statements."
08B,Control Flow,Ternary Operator,control-flow/ternary-operator,route,/lessons/control-flow/ternary-operator,Learn how to write concise conditional logic using the ternary operator for simple if-else scenarios.
08C,Control Flow,Switch Statements,control-flow/switch-statements,route,/lessons/control-flow/switch-statements,Learn how to use switch statements for cleaner multi-way conditional logic and how to create scoped blocks for each case.
08D,Control Flow,For Loops,control-flow/for-loops,route,/lessons/control-flow/for-loops,Learn how to use for loops to repeat code a specific number of times and iterate over data structures.
08E,Control Flow,While Loops,control-flow/while-loops,route,/lessons/control-flow/while-loops,Learn how to use while loops for repeating code when you don't know exactly how many times to loop.
08F,Control Flow,Recursion,control-flow/recursion,route,/lessons/control-flow/recursion,"Learn how recursion works - when functions call themselves to solve problems that can be broken down into smaller, similar subproblems."
08G,Control Flow,Short Circuit Evaluation,control-flow/short-circuit-evaluation,route,/lessons/control-flow/short-circuit-evaluation,Learn how short-circuit evaluation works with logical operators to write more efficient and cleaner conditional code.
08H,Control Flow,Array Methods,control-flow/array-methods,route,/lessons/control-flow/array-methods,"Learn essential array methods like forEach, map, filter, find, some, every, and reduce to work with arrays efficiently in JavaScript."
09A,DOM,Window and Document,dom/window-and-document,sitemap,/lessons/dom/window-and-document,Learn about the window and document objects - the foundation for interacting with web pages in JavaScript.
09B,DOM,Selecting Elements,dom/selecting-elements,sitemap,/lessons/dom/selecting-elements,"Learn different ways to select HTML elements in JavaScript, including getElementById, getElementsByClassName, and the powerful querySelector methods."
09C,DOM,Event Listeners,dom/event-listeners,sitemap,/lessons/dom/event-listeners,"Learn how to make your web pages interactive by adding event listeners to respond to user actions like clicks, form submissions, and more."
09D,DOM,Event Delegation,dom/event-delegation,sitemap,/lessons/dom/event-delegation,"Learn about event delegation, event bubbling, and event capturing - powerful concepts that allow you to handle events efficiently and work with dynamically added elements."
09E,DOM,DOM Traversal,dom/dom-traversal,sitemap,/lessons/dom/dom-traversal,"Learn how to navigate through the DOM tree using JavaScript to move from one element to related elements like parents, children, and siblings."
10A,Debugging,Common Errors,debugging/common-errors,bug,/lessons/debugging/common-errors,"Learn to identify and fix the most common JavaScript errors that beginners encounter, including syntax errors, runtime errors, and logical mistakes."
10B,Debugging,Devtools Basics,debugging/devtools-basics,bug,/lessons/debugging/devtools-basics,"Learn to use Chrome DevTools effectively for debugging JavaScript, including the Elements, Console, Network, and Performance tabs."
10C,Debugging,Console Advanced,debugging/console-advanced,bug,/lessons/debugging/console-advanced,Master advanced console methods and debugging techniques beyond basic console.log for more effective JavaScript debugging.
10D,Debugging,Source Debugger,debugging/source-debugger,bug,/lessons/debugging/source-debugger,"Master the Sources tab and JavaScript debugger in Chrome DevTools for advanced debugging with breakpoints, stepping, and call stack inspection."
10E,Debugging,Vscode Debugging,debugging/vscode-debugging,bug,/lessons/debugging/vscode-debugging,"Learn how to debug JavaScript directly in VSCode using the integrated debugger, launch configurations, and debugging features."
